user_id,movie_id,rating,timestamp,title,release_date,genre_names,original_language_full,overview
1,3,4.0,964981247,Shadows in Paradise,1986-10-17,"['Comedy', 'Drama', 'Romance']",Finnish,"Nikander, a rubbish collector and would-be entrepreneur, finds his plans for success dashed when his business associate dies. One evening, he meets Ilona, a down-on-her-luck cashier, in a local supermarket. Falteringly, a bond begins to develop between them."
1,6,4.0,964982224,Judgment Night,1993-10-15,"['Action', 'Crime', 'Thriller']",English,"Four young friends, while taking a shortcut en route to a local boxing match, witness a brutal murder which leaves them running for their lives."
1,70,3.0,964982400,Million Dollar Baby,2004-12-05,['Drama'],English,"Despondent over a painful estrangement from his daughter, trainer Frankie Dunn isn't prepared for boxer Maggie Fitzgerald to enter his life. But Maggie's determined to go pro and to convince Dunn and his cohort to help her."
1,101,5.0,964980868,Léon: The Professional,1994-09-14,"['Crime', 'Drama', 'Action']",French,"Léon, the top hit man in New York, has earned a rep as an effective ""cleaner"". But when his next-door neighbors are wiped out by a loose-cannon DEA agent, he becomes the unwilling custodian of 12-year-old Mathilda. Before long, Mathilda's thoughts turn to revenge, and she considers following in Léon's footsteps."
1,110,4.0,964982176,Three Colors: Red,1994-05-12,"['Drama', 'Mystery', 'Romance']",French,"Part-time model Valentine unexpectedly befriends a retired judge after she runs over his dog. At first, the grumpy man shows no concern about the dog, and Valentine decides to keep it. But the two form a bond when she returns to his house and catches him listening to his neighbors’ phone calls."
1,157,5.0,964984100,Star Trek III: The Search for Spock,1984-06-01,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",English,A surprise visit from Spock's father provides a startling revelation: McCoy is harboring Spock's living essence.
1,163,5.0,964983650,Ocean's Twelve,2004-12-09,"['Thriller', 'Crime']",English,"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels."
1,231,5.0,964981179,Syriana,2005-11-23,"['Drama', 'Thriller']",English,"The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins."
1,235,4.0,964980908,Stand by Me,1986-08-08,"['Crime', 'Drama']",English,"After learning that a boy their age has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie,  Vern, Chris and Teddy encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives."
1,296,3.0,964982967,Terminator 3: Rise of the Machines,2003-07-02,"['Action', 'Thriller', 'Science Fiction']",English,"It's been 10 years since John Connor saved Earth from Judgment Day, and he's now living under the radar, steering clear of using anything Skynet can trace. That is, until he encounters T-X, a robotic assassin ordered to finish what T-1000 started. Good thing Connor's former nemesis, the Terminator, is back to aid the now-adult Connor … just like he promised."
